1,3.297
2,3.297
3,3.298
4,3.298
5,3.298
6,3.297
7,3.298
8,3.298
9,3.298
10,3.298
11,3.297
12,3.298
13,3.298
14,3.298
15,3.297
16,3.297
17,3.298
18,3.298
19,3.298
20,3.298
21,3.297
22,3.298
23,3.298
24,3.298
25,3.298
26,3.298
27,3.296
28,3.298
29,3.296
30,3.297
31,3.297
32,3.297
33,3.296
34,3.297
35,3.296
36,3.297
37,3.297
38,3.298
39,3.298
40,3.297
41,3.298
42,3.298
43,3.298
44,3.298
45,3.297
46,3.298
47,3.297
48,3.298
49,3.297
50,3.297
51,3.297
52,3.298
53,3.297
54,3.297
55,3.297
56,3.296
57,3.297
58,3.297
59,3.297
60,3.297
61,3.298
62,3.297
63,3.298
64,3.298
65,3.299
66,3.297
67,3.297
68,3.297
69,3.297
70,3.298
71,3.297
72,3.298
73,3.298
74,3.298
75,3.297
76,3.297
77,3.297
78,3.298
79,3.298
80,3.298
81,3.297
82,3.297
83,3.298
84,3.298
85,3.297
86,3.298
87,3.298
88,3.297
89,3.297
90,3.298
91,3.297
92,3.298
93,3.297
94,3.299
95,3.298
96,3.298
97,3.297
98,3.298
99,3.298
100,3.297
